generation,best_gen,best_ever,mean_fitness,greedy_fitness,mean_certainty,t_eval_max,elapsed
1,-0.14870427,-0.14870427,-0.85538964,-0.66628385,0.31485,10,0.03
2,-0.0796248,-0.0796248,-0.75464078,-2.3754836,0.32042,10,0.09
3,-0.04700853,-0.04700853,-0.74270209,-1.05464722,0.32498,10,0.12
4,-0.06441479,-0.04700853,-0.82392298,-0.45543747,0.3283,10,0.15
5,-0.04399906,-0.04399906,-0.87338136,-0.708135,0.3323,10,0.18
6,-0.02201138,-0.02201138,-1.00036228,-0.92301998,0.33546,10,0.21
7,-0.04296003,-0.02201138,-0.99139769,-1.42044689,0.33813,10,0.24
8,-0.03772639,-0.02201138,-0.90089289,-1.30352524,0.34361,10,0.27
9,-0.03346856,-0.02201138,-0.93773478,-1.33033654,0.34854,10,0.31
10,-0.01194751,-0.01194751,-0.91209872,-1.27908492,0.34971,10,0.34
11,-0.02088892,-0.01194751,-1.01333642,-1.23478776,0.35312,10,0.37
12,-0.02092301,-0.01194751,-0.91662247,-1.30656375,0.35709,10,0.4
13,-0.01335111,-0.01194751,-0.8525885,-1.26821813,0.35829,10,0.43
14,-0.02214071,-0.01194751,-0.94603102,-0.56332717,0.36054,10,0.46
15,-0.0200562,-0.01194751,-0.83739429,-0.35658624,0.36366,10,0.49
16,-0.01354623,-0.01194751,-0.78596426,-0.45425018,0.36486,10,0.52
17,-0.03197246,-0.01194751,-0.80619307,-0.5369061,0.36762,10,0.55
18,-0.01954515,-0.01194751,-0.67816718,-0.58645087,0.3698,10,0.58
19,-0.00016123,-0.00016123,-0.68835016,-0.62769938,0.37221,10,0.61
20,-0.01289189,-0.00016123,-0.64957431,-0.65027669,0.37634,10,0.64
21,-0.00327594,-0.00016123,-0.64266458,-0.71345586,0.37937,10,0.67
22,-0.00423707,-0.00016123,-0.56704414,-0.79522318,0.38035,10,0.7
23,-0.00316097,-0.00016123,-0.59040428,-0.69111012,0.38011,10,0.73
24,-0.01029438,-0.00016123,-0.51136469,-0.80756477,0.38137,10,0.76
25,-0.01168674,-0.00016123,-0.4856615,-0.70489586,0.38419,10,0.79
26,-0.0040818,-0.00016123,-0.44197299,-0.60119785,0.38591,10,0.82
27,-0.00522153,-0.00016123,-0.43010938,-0.19544719,0.38643,10,0.85
28,-0.00488899,-0.00016123,-0.40115828,-0.96197861,0.38861,10,0.88
29,-0.0013713,-0.00016123,-0.30489458,-0.93865275,0.38813,10,0.91
30,-0.00085502,-0.00016123,-0.32079582,-0.18644204,0.39121,10,0.94
31,-0.00271622,-0.00016123,-0.30657877,-1.03487146,0.39316,10,0.97
32,-0.00566027,-0.00016123,-0.28383151,-0.10821253,0.396,10,1.0
33,-0.00055789,-0.00016123,-0.22907643,-0.07886772,0.39764,10,1.03
34,-0.00319029,-0.00016123,-0.21011039,-0.84341271,0.40109,10,1.06
35,-0.00489717,-0.00016123,-0.19984469,-0.07143138,0.40449,10,1.1
36,-0.00209628,-0.00016123,-0.16511498,-0.13280152,0.40703,10,1.12
37,-0.00282523,-0.00016123,-0.15990523,-0.06268908,0.40721,10,1.16
38,-0.00203058,-0.00016123,-0.16403524,-0.12505812,0.40833,10,1.19
39,-0.00070221,-0.00016123,-0.15895693,-0.14322967,0.40965,10,1.22
40,-0.00293122,-0.00016123,-0.16595699,-0.13742478,0.41193,10,1.25
41,-0.00183326,-0.00016123,-0.10465567,-0.13721299,0.41455,10,1.28
42,-0.00067559,-0.00016123,-0.10538986,-0.09145769,0.41306,10,1.31
43,-0.00164135,-0.00016123,-0.10340471,-0.15280264,0.41731,10,1.34
44,-0.00154951,-0.00016123,-0.07264502,-0.19753158,0.41782,10,1.37
45,-0.00155955,-0.00016123,-0.08618184,-0.14045117,0.41958,10,1.4
46,-0.00124136,-0.00016123,-0.08072064,-0.08465101,0.42094,10,1.43
47,-0.00108917,-0.00016123,-0.0714934,-0.08347634,0.42321,10,1.48
48,-0.00024746,-0.00016123,-0.06878699,-0.10656186,0.42509,10,1.51
49,-0.00063526,-0.00016123,-0.05942257,-0.09174795,0.42645,10,1.54
50,-7.113e-05,-7.113e-05,-0.05015979,-0.21757765,0.4252,10,1.58
51,-0.00138279,-7.113e-05,-0.05740391,-0.83936211,0.42428,10,1.61
52,-0.00064504,-7.113e-05,-0.05322695,-0.85677258,0.42665,10,1.64
53,-0.00038243,-7.113e-05,-0.04410366,-0.51204754,0.42881,10,1.67
54,-0.00063249,-7.113e-05,-0.03588854,-0.7041091,0.43011,10,1.7
55,-0.00038814,-7.113e-05,-0.03586646,-0.26379559,0.43171,10,1.73
56,-0.00078574,-7.113e-05,-0.04207073,-0.25593493,0.43115,10,1.76
57,-0.00081069,-7.113e-05,-0.03505569,-0.2751768,0.43196,10,1.79
58,-0.00095978,-7.113e-05,-0.03091591,-0.25087637,0.4321,10,1.82
59,-0.00018875,-7.113e-05,-0.03219309,-0.29767811,0.43304,10,1.85
60,-0.00096288,-7.113e-05,-0.0314292,-0.28199892,0.43439,10,1.88
61,-0.00023202,-7.113e-05,-0.02460599,-0.7541654,0.43573,10,1.91
62,-0.00051962,-7.113e-05,-0.02121223,-0.73170606,0.43634,10,1.94
63,-0.00046534,-7.113e-05,-0.02277965,-0.49041573,0.43742,10,1.97
64,-0.00085343,-7.113e-05,-0.02921408,-0.26495605,0.4399,10,2.0
65,-8.757e-05,-7.113e-05,-0.01990896,-0.29540743,0.44052,10,2.03
66,-0.00031348,-7.113e-05,-0.02477792,-0.57306401,0.44178,10,2.06
67,-0.00032376,-7.113e-05,-0.02296717,-0.3451786,0.44295,10,2.09
