seed,gen,best_fitness,mean_fitness,best_expr,node_count,total_info,monotonicity,mean_rate,parsimony
0,10,0.02102149,-2000000.01941786,((-1 ^ k) / ((2 * k) + 1)),9,15.2877,1.0,3.3177,0.045
0,20,0.02102149,-1000000.02782409,((-1 ^ k) / ((2 * k) + 1)),9,15.2877,1.0,3.3177,0.045
0,30,0.02102149,-2000000.03138792,((-1 ^ k) / ((2 * k) + 1)),9,15.2877,1.0,3.3177,0.045
0,40,0.02102149,-2000000.03158011,((-1 ^ k) / ((2 * k) + 1)),9,15.2877,1.0,3.3177,0.045
0,50,0.02102149,-0.03179961,((-1 ^ k) / ((2 * k) + 1)),9,15.2877,1.0,3.3177,0.045
0,60,0.02102149,-0.03401099,((-1 ^ k) / ((2 * k) + 1)),9,15.2877,1.0,3.3177,0.045
0,70,0.02102149,-3000000.03442734,((-1 ^ k) / ((2 * k) + 1)),9,15.2877,1.0,3.3177,0.045
0,80,0.02102149,-3000000.03715466,((-1 ^ k) / ((2 * k) + 1)),9,15.2877,1.0,3.3177,0.045
0,90,0.02102149,-0.03904159,((-1 ^ k) / ((2 * k) + 1)),9,15.2877,1.0,3.3177,0.045
0,100,0.02102149,-1000000.03808658,((-1 ^ k) / ((2 * k) + 1)),9,15.2877,1.0,3.3177,0.045
1,10,0.02102149,-0.01821153,((-1 ^ k) / ((2 * k) + 1)),9,15.2877,1.0,3.3177,0.045
1,20,0.02102149,-5000000.02997275,((-1 ^ k) / ((2 * k) + 1)),9,15.2877,1.0,3.3177,0.045
1,30,0.02102149,-3000000.03317041,((-1 ^ k) / ((2 * k) + 1)),9,15.2877,1.0,3.3177,0.045
1,40,0.02102149,-1000000.03821654,((-1 ^ k) / ((2 * k) + 1)),9,15.2877,1.0,3.3177,0.045
1,50,0.02102149,-0.03965942,((-1 ^ k) / ((2 * k) + 1)),9,15.2877,1.0,3.3177,0.045
1,60,0.02102149,-2000000.03810354,((-1 ^ k) / ((2 * k) + 1)),9,15.2877,1.0,3.3177,0.045
1,70,0.02102149,-0.03992641,((-1 ^ k) / ((2 * k) + 1)),9,15.2877,1.0,3.3177,0.045
1,80,0.02102149,-1000000.03909661,((-1 ^ k) / ((2 * k) + 1)),9,15.2877,1.0,3.3177,0.045
