seed,gen,best_fitness,mean_fitness,best_expr,node_count,terms_t10
0,10,-0.00235997,-6034.11924048,(((((-1 ^ k) / (k + 3)) / 1) ^ k) / (((--1) * (-5 * 0)) + 1)),20,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
0,20,-0.00145997,-631.47406395,((((-1 ^ k) / (k + 3)) / 1) ^ k),11,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
0,30,-0.00105997,-36676.31782346,((-1 / (k + 3)) ^ k),7,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
0,40,-0.00105997,-2000615.28436787,((-1 / (k + 3)) ^ k),7,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
0,50,-0.00105997,-6350.88418156,((-1 / (k + 3)) ^ k),7,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
0,60,-0.00105997,-5291.06549759,((-1 / (k + 3)) ^ k),7,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
0,70,-0.00105997,-9886.96087379,((-1 / (k + 3)) ^ k),7,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
0,80,-0.00105997,-4006.20757492,((-1 / (k + 3)) ^ k),7,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
0,90,-0.00105997,-2406.99938882,((-1 / (k + 3)) ^ k),7,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
0,100,-0.00105997,-982.07343894,((-1 / (k + 3)) ^ k),7,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
0,110,-0.00105997,-2010242.48675208,((-1 / (k + 3)) ^ k),7,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
0,120,-0.00105997,-5073.18130999,((-1 / (k + 3)) ^ k),7,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,10,-0.00265997,-25649.49957081,((-1 + ((2 - (k + 2)) + (2 / -1))) ^ ((-(0 ^ 1)) + ((1 ^ 1) * (-k)))),23,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,20,-0.00175997,-26548.3198074,((-1 + ((2 - (k + 2)) + (2 / -1))) ^ (-k)),14,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,30,-0.00155997,-44873.42692328,(((-1 / (-1 ^ 4)) - (k + 2)) ^ (-k)),12,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,40,-0.00115997,-22947.33722692,((-1 - (k + 2)) ^ (-k)),8,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,50,-0.00115997,-4003649.53944724,((-1 - (k + 2)) ^ (-k)),8,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,60,-0.00115997,-46045.65780178,((-1 - (k + 2)) ^ (-k)),8,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,70,-0.00105997,-156872.25186916,(((-k) - 3) ^ (-k)),7,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,80,-0.00105997,-2003275.54133957,(((-k) - 3) ^ (-k)),7,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,90,-0.00105997,-723.5029121,(((-k) - 3) ^ (-k)),7,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,100,-0.00105997,-7835.77565574,(((-k) - 3) ^ (-k)),7,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,110,-0.00105997,-1084.89710037,(((-k) - 3) ^ (-k)),7,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,120,-0.00095997,-5522.42811364,((-3 - k) ^ (-k)),6,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,130,-0.00095997,-1315.11073089,((-3 - k) ^ (-k)),6,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,140,-0.00095997,-30617.12074673,((-3 - k) ^ (-k)),6,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,150,-0.00095997,-62655.7555211,((-3 - k) ^ (-k)),6,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,160,-0.00095997,-915.61341705,((-3 - k) ^ (-k)),6,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,170,-0.00095997,-41255.1137432,((-3 - k) ^ (-k)),6,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,180,-0.00095997,-20999.5303266,((-3 - k) ^ (-k)),6,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
1,190,-0.00095997,-2050.26236753,((-3 - k) ^ (-k)),6,"[1.0, -0.25, 0.04, -0.00463, 0.000416, -3.1e-05, 2e-06, -0.0, 0.0, -0.0]"
