seed,gen,best_fitness,mean_fitness,best_expr,node_count,total_info,monotonicity,mean_rate,parsimony
0,10,-0.0048606,-0.01195956,0,1,0.3485,0.0,0.0,0.005
0,20,-0.0048606,-2000000.01172806,0,1,0.3485,0.0,0.0,0.005
0,30,-0.0048606,-0.01212016,0,1,0.3485,0.0,0.0,0.005
0,40,-0.0048606,-4000000.01136936,0,1,0.3485,0.0,0.0,0.005
0,50,-0.0048606,-0.01243359,0,1,0.3485,0.0,0.0,0.005
0,60,-0.0048606,-0.01191614,0,1,0.3485,0.0,0.0,0.005
0,70,-0.0048606,-1000000.01200807,0,1,0.3485,0.0,0.0,0.005
0,80,-0.0048606,-1000000.01191374,0,1,0.3485,0.0,0.0,0.005
0,90,-0.0048606,-4000000.01190934,0,1,0.3485,0.0,0.0,0.005
0,100,-0.0048606,-0.01181874,0,1,0.3485,0.0,0.0,0.005
0,110,-0.0048606,-1000000.01293581,0,1,0.3485,0.0,0.0,0.005
0,120,-0.0048606,-2000000.01217572,0,1,0.3485,0.0,0.0,0.005
0,130,-0.0048606,-1000000.01100723,0,1,0.3485,0.0,0.0,0.005
0,140,-0.0048606,-1000000.01177006,0,1,0.3485,0.0,0.0,0.005
0,150,-0.0048606,-0.01144807,0,1,0.3485,0.0,0.0,0.005
0,160,-0.0048606,-2000000.01165357,0,1,0.3485,0.0,0.0,0.005
0,170,-0.0048606,-0.01255632,0,1,0.3485,0.0,0.0,0.005
0,180,-0.0048606,-1000000.01191264,0,1,0.3485,0.0,0.0,0.005
0,190,-0.0048606,-2000000.01158009,0,1,0.3485,0.0,0.0,0.005
0,200,-0.00034323,-2000000.01824355,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,210,-0.00034323,-0.02658582,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,220,-0.00034323,-2000000.02472331,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,230,-0.00034323,-2000000.02369015,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,240,-0.00034323,-1000000.02571246,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,250,-0.00034323,-1000000.02381847,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,260,-0.00034323,-1000000.02583918,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,270,-0.00034323,-1000000.0260283,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,280,-0.00034323,-0.02598416,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,290,-0.00034323,-3000000.02356675,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,300,-0.00034323,-2000000.02596066,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,310,-0.00034323,-0.02541674,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,320,-0.00034323,-2000000.02369089,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,330,-0.00034323,-1000000.02592142,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,340,-0.00034323,-4000000.02481678,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,350,-0.00034323,-3000000.02528341,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,360,-0.00034323,-2000000.02421559,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,370,-0.00034323,-1000000.02501305,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,380,-0.00034323,-2000000.02524042,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,390,-0.00034323,-0.02575113,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,400,-0.00034323,-0.02427284,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,410,-0.00034323,-2000000.02554957,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,420,-0.00034323,-0.02476338,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,430,-0.00034323,-0.02465423,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,440,-0.00034323,-2000000.02569977,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,450,-0.00034323,-2000000.02591713,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,460,-0.00034323,-0.02663337,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,470,-0.00034323,-1000000.02602849,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,480,-0.00034323,-1000000.02560939,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,490,-0.00034323,-1000000.02645531,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,500,-0.00034323,-0.02611857,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,510,-0.00034323,-0.02456886,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,520,-0.00034323,-2000000.02455065,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,530,-0.00034323,-3000000.02351766,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,540,-0.00034323,-1000000.02554494,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,550,-0.00034323,-2000000.02642016,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,560,-0.00034323,-1000000.02439314,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,570,-0.00034323,-1000000.02403309,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,580,-0.00034323,-3000000.02524068,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,590,-0.00034323,-1000000.02702663,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,600,-0.00034323,-2000000.02377008,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,610,-0.00034323,-1000000.02564068,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,620,-0.00034323,-2000000.02395367,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,630,-0.00034323,-0.02558981,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,640,-0.00034323,-0.02504788,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,650,-0.00034323,-0.02651144,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,660,-0.00034323,-2000000.02449855,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,670,-0.00034323,-3000000.02639753,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
0,680,-0.00034323,-0.02715224,(-11 ^ -4),3,3.2879,0.2,0.8903,0.015
